Ma_SV,Ma_Hoc_Phan,Ten_Mon,So_Tin_Chi,Diem_So,Ky_Hoc,XepLoai,KetQua
A50049,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,5.3,1,D,Đạt
A50049,SH131,Pháp luật đại cương,2,5.2,1,D,Đạt
A50049,ML113,Triết học Mác - Lênin,3,5.7,1,C,Đạt
A50049,GE111,Tiếng Anh sơ cấp 1,2,6.8,1,C,Đạt
A50049,MA120,Đại số tuyến tính,3,7.4,2,B,Đạt
A50049,GE112,Tiếng Anh sơ cấp 2,2,6.3,2,C,Đạt
A50049,ML114,Kinh tế chính trị Mác - Lênin,2,6.7,2,C,Đạt
A50049,CS212,Kiến trúc máy tính,3,6.7,2,C,Đạt
A50049,CS123,Lập trình cơ sở 2,2,5.8,3,C,Đạt
A50049,MA110,Giải tích 1,3,5.0,3,D,Đạt
A50049,MI201,Toán rời rạc,3,7.8,3,B,Đạt
A50049,GE121,Tiếng Anh sơ trung cấp 1,2,5.4,3,D,Đạt
A50049,ML115,Chủ nghĩa xã hội khoa học,2,7.3,3,B,Đạt
A50049,NA151,Khoa học môi trường,2,3.9,3,F,Học lại
A50049,CS122,Lập trình hướng đối tượng,3,6.4,4,C,Đạt
A50049,ML202,Tư tưởng Hồ Chí Minh,2,6.5,4,C,Đạt
A50049,GE222,Tiếng Anh sơ trung cấp 2,2,5.4,4,D,Đạt
A50049,MA239,Xác suất thống kê,3,4.8,4,D,Đạt
A50049,IS224,Lập trình khoa học dữ liệu,3,5.8,4,C,Đạt
A50049,AI130,Trí tuệ nhân tạo,3,6.8,4,C,Đạt
A50050,CS100,Tin học đại cương,2,5.9,1,C,Đạt
A50050,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,4.6,1,D,Đạt
A50050,SH131,Pháp luật đại cương,2,9.0,1,A,Đạt
A50050,ML113,Triết học Mác - Lênin,3,6.4,1,C,Đạt
A50050,GE111,Tiếng Anh sơ cấp 1,2,7.3,1,B,Đạt
A50050,CS121,Lập trình cơ sở 1,3,5.7,2,C,Đạt
A50050,MA120,Đại số tuyến tính,3,4.6,2,D,Đạt
A50050,GE112,Tiếng Anh sơ cấp 2,2,7.1,2,B,Đạt
A50050,ML114,Kinh tế chính trị Mác - Lênin,2,7.3,2,B,Đạt
A50050,CS123,Lập trình cơ sở 2,2,5.7,3,C,Đạt
A50050,MA110,Giải tích 1,3,5.5,3,C,Đạt
A50050,MI201,Toán rời rạc,3,5.3,3,D,Đạt
A50050,GE121,Tiếng Anh sơ trung cấp 1,2,7.5,3,B,Đạt
A50050,ML115,Chủ nghĩa xã hội khoa học,2,4.8,3,D,Đạt
A50050,NA151,Khoa học môi trường,2,5.7,3,C,Đạt
A50050,CS122,Lập trình hướng đối tượng,3,7.2,4,B,Đạt
A50050,ML202,Tư tưởng Hồ Chí Minh,2,9.0,4,A,Đạt
A50050,GE222,Tiếng Anh sơ trung cấp 2,2,6.3,4,C,Đạt
A50050,MA239,Xác suất thống kê,3,5.4,4,D,Đạt
A50050,IS224,Lập trình khoa học dữ liệu,3,5.9,4,C,Đạt
A50050,AI130,Trí tuệ nhân tạo,3,5.8,4,C,Đạt
A50051,CS100,Tin học đại cương,2,9.1,1,A,Đạt
A50051,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,8.1,1,B,Đạt
A50051,SH131,Pháp luật đại cương,2,8.4,1,B,Đạt
A50051,ML113,Triết học Mác - Lênin,3,8.7,1,A,Đạt
A50051,CS121,Lập trình cơ sở 1,3,6.2,2,C,Đạt
A50051,MA120,Đại số tuyến tính,3,9.0,2,A,Đạt
A50051,GE112,Tiếng Anh sơ cấp 2,2,8.7,2,A,Đạt
A50051,ML114,Kinh tế chính trị Mác - Lênin,2,8.9,2,A,Đạt
A50051,CS212,Kiến trúc máy tính,3,8.2,2,B,Đạt
A50051,CS123,Lập trình cơ sở 2,2,10.0,3,A,Đạt
A50051,MA110,Giải tích 1,3,9.1,3,A,Đạt
A50051,MI201,Toán rời rạc,3,9.5,3,A,Đạt
A50051,GE121,Tiếng Anh sơ trung cấp 1,2,6.7,3,C,Đạt
A50051,ML115,Chủ nghĩa xã hội khoa học,2,7.8,3,B,Đạt
A50051,NA151,Khoa học môi trường,2,5.1,3,D,Đạt
A50051,CS122,Lập trình hướng đối tượng,3,5.0,4,D,Đạt
A50051,ML202,Tư tưởng Hồ Chí Minh,2,9.0,4,A,Đạt
A50051,GE222,Tiếng Anh sơ trung cấp 2,2,6.5,4,C,Đạt
A50051,MA239,Xác suất thống kê,3,9.2,4,A,Đạt
A50051,IS224,Lập trình khoa học dữ liệu,3,8.0,4,B,Đạt
A50051,AI130,Trí tuệ nhân tạo,3,6.0,4,C,Đạt
A50052,CS100,Tin học đại cương,2,8.1,1,B,Đạt
A50052,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,4.8,1,D,Đạt
A50052,SH131,Pháp luật đại cương,2,7.0,1,B,Đạt
A50052,ML113,Triết học Mác - Lênin,3,4.8,1,D,Đạt
A50052,GE111,Tiếng Anh sơ cấp 1,2,6.6,1,C,Đạt
A50052,CS121,Lập trình cơ sở 1,3,5.7,2,C,Đạt
A50052,MA120,Đại số tuyến tính,3,4.2,2,D,Đạt
A50052,GE112,Tiếng Anh sơ cấp 2,2,5.7,2,C,Đạt
A50052,ML114,Kinh tế chính trị Mác - Lênin,2,5.7,2,C,Đạt
A50052,CS212,Kiến trúc máy tính,3,9.2,2,A,Đạt
A50052,CS123,Lập trình cơ sở 2,2,7.1,3,B,Đạt
A50052,MA110,Giải tích 1,3,7.5,3,B,Đạt
A50052,MI201,Toán rời rạc,3,4.3,3,D,Đạt
A50052,GE121,Tiếng Anh sơ trung cấp 1,2,4.1,3,D,Đạt
A50052,ML115,Chủ nghĩa xã hội khoa học,2,6.2,3,C,Đạt
A50052,NA151,Khoa học môi trường,2,7.9,3,B,Đạt
A50052,CS122,Lập trình hướng đối tượng,3,5.5,4,C,Đạt
A50052,ML202,Tư tưởng Hồ Chí Minh,2,5.2,4,D,Đạt
A50052,GE222,Tiếng Anh sơ trung cấp 2,2,10.0,4,A,Đạt
A50052,MA239,Xác suất thống kê,3,7.2,4,B,Đạt
A50052,IS224,Lập trình khoa học dữ liệu,3,5.3,4,D,Đạt
A50052,AI130,Trí tuệ nhân tạo,3,6.1,4,C,Đạt
A50053,CS100,Tin học đại cương,2,6.4,1,C,Đạt
A50053,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,9.7,1,A,Đạt
A50053,SH131,Pháp luật đại cương,2,7.5,1,B,Đạt
A50053,ML113,Triết học Mác - Lênin,3,5.0,1,D,Đạt
A50053,GE111,Tiếng Anh sơ cấp 1,2,6.5,1,C,Đạt
A50053,CS121,Lập trình cơ sở 1,3,10.0,2,A,Đạt
A50053,MA120,Đại số tuyến tính,3,10.0,2,A,Đạt
A50053,GE112,Tiếng Anh sơ cấp 2,2,5.0,2,D,Đạt
A50053,ML114,Kinh tế chính trị Mác - Lênin,2,8.8,2,A,Đạt
A50053,CS212,Kiến trúc máy tính,3,9.0,2,A,Đạt
A50053,CS123,Lập trình cơ sở 2,2,6.5,3,C,Đạt
A50053,MI201,Toán rời rạc,3,6.3,3,C,Đạt
A50053,GE121,Tiếng Anh sơ trung cấp 1,2,6.2,3,C,Đạt
A50053,NA151,Khoa học môi trường,2,6.3,3,C,Đạt
A50053,CS122,Lập trình hướng đối tượng,3,6.3,4,C,Đạt
A50053,ML202,Tư tưởng Hồ Chí Minh,2,9.1,4,A,Đạt
A50053,GE222,Tiếng Anh sơ trung cấp 2,2,8.2,4,B,Đạt
A50053,MA239,Xác suất thống kê,3,7.7,4,B,Đạt
A50053,IS224,Lập trình khoa học dữ liệu,3,7.8,4,B,Đạt
A50053,AI130,Trí tuệ nhân tạo,3,6.3,4,C,Đạt
A50054,CS100,Tin học đại cương,2,5.1,1,D,Đạt
A50054,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,8.3,1,B,Đạt
A50054,SH131,Pháp luật đại cương,2,6.3,1,C,Đạt
A50054,ML113,Triết học Mác - Lênin,3,6.9,1,C,Đạt
A50054,GE111,Tiếng Anh sơ cấp 1,2,2.9,1,F,Học lại
A50054,CS121,Lập trình cơ sở 1,3,5.1,2,D,Đạt
A50054,MA120,Đại số tuyến tính,3,6.1,2,C,Đạt
A50054,GE112,Tiếng Anh sơ cấp 2,2,7.2,2,B,Đạt
A50054,ML114,Kinh tế chính trị Mác - Lênin,2,8.8,2,A,Đạt
A50054,CS212,Kiến trúc máy tính,3,4.7,2,D,Đạt
A50054,CS123,Lập trình cơ sở 2,2,8.7,3,A,Đạt
A50054,MA110,Giải tích 1,3,1.8,3,F,Học lại
A50054,MI201,Toán rời rạc,3,4.6,3,D,Đạt
A50054,GE121,Tiếng Anh sơ trung cấp 1,2,6.8,3,C,Đạt
A50054,ML115,Chủ nghĩa xã hội khoa học,2,5.1,3,D,Đạt
A50054,NA151,Khoa học môi trường,2,9.1,3,A,Đạt
A50054,CS122,Lập trình hướng đối tượng,3,4.9,4,D,Đạt
A50054,ML202,Tư tưởng Hồ Chí Minh,2,6.8,4,C,Đạt
A50054,GE222,Tiếng Anh sơ trung cấp 2,2,9.0,4,A,Đạt
A50054,MA239,Xác suất thống kê,3,4.7,4,D,Đạt
A50054,IS224,Lập trình khoa học dữ liệu,3,5.1,4,D,Đạt
A50054,AI130,Trí tuệ nhân tạo,3,4.9,4,D,Đạt
A50055,CS100,Tin học đại cương,2,7.0,1,B,Đạt
A50055,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,5.6,1,C,Đạt
A50055,SH131,Pháp luật đại cương,2,8.8,1,A,Đạt
A50055,ML113,Triết học Mác - Lênin,3,6.3,1,C,Đạt
A50055,GE111,Tiếng Anh sơ cấp 1,2,5.4,1,D,Đạt
A50055,CS121,Lập trình cơ sở 1,3,5.1,2,D,Đạt
A50055,MA120,Đại số tuyến tính,3,10.0,2,A,Đạt
A50055,GE112,Tiếng Anh sơ cấp 2,2,5.2,2,D,Đạt
A50055,ML114,Kinh tế chính trị Mác - Lênin,2,7.6,2,B,Đạt
A50055,CS212,Kiến trúc máy tính,3,10.0,2,A,Đạt
A50055,CS123,Lập trình cơ sở 2,2,7.8,3,B,Đạt
A50055,MA110,Giải tích 1,3,5.5,3,C,Đạt
A50055,MI201,Toán rời rạc,3,3.7,3,F,Học lại
A50055,GE121,Tiếng Anh sơ trung cấp 1,2,10.0,3,A,Đạt
A50055,ML115,Chủ nghĩa xã hội khoa học,2,8.2,3,B,Đạt
A50055,NA151,Khoa học môi trường,2,7.8,3,B,Đạt
A50055,CS122,Lập trình hướng đối tượng,3,9.4,4,A,Đạt
A50055,ML202,Tư tưởng Hồ Chí Minh,2,8.0,4,B,Đạt
A50055,GE222,Tiếng Anh sơ trung cấp 2,2,10.0,4,A,Đạt
A50055,MA239,Xác suất thống kê,3,6.4,4,C,Đạt
A50055,IS224,Lập trình khoa học dữ liệu,3,8.9,4,A,Đạt
A50055,AI130,Trí tuệ nhân tạo,3,8.2,4,B,Đạt
A50056,CS100,Tin học đại cương,2,9.2,1,A,Đạt
A50056,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,8.4,1,B,Đạt
A50056,ML113,Triết học Mác - Lênin,3,10.0,1,A,Đạt
A50056,GE111,Tiếng Anh sơ cấp 1,2,6.7,1,C,Đạt
A50056,CS121,Lập trình cơ sở 1,3,8.4,2,B,Đạt
A50056,MA120,Đại số tuyến tính,3,9.7,2,A,Đạt
A50056,GE112,Tiếng Anh sơ cấp 2,2,10.0,2,A,Đạt
A50056,ML114,Kinh tế chính trị Mác - Lênin,2,8.2,2,B,Đạt
A50056,CS212,Kiến trúc máy tính,3,9.1,2,A,Đạt
A50056,CS123,Lập trình cơ sở 2,2,8.4,3,B,Đạt
A50056,MA110,Giải tích 1,3,6.3,3,C,Đạt
A50056,MI201,Toán rời rạc,3,10.0,3,A,Đạt
A50056,GE121,Tiếng Anh sơ trung cấp 1,2,8.1,3,B,Đạt
A50056,ML115,Chủ nghĩa xã hội khoa học,2,9.5,3,A,Đạt
A50056,NA151,Khoa học môi trường,2,9.6,3,A,Đạt
A50056,CS122,Lập trình hướng đối tượng,3,8.2,4,B,Đạt
A50056,ML202,Tư tưởng Hồ Chí Minh,2,6.5,4,C,Đạt
A50056,GE222,Tiếng Anh sơ trung cấp 2,2,7.1,4,B,Đạt
A50056,MA239,Xác suất thống kê,3,6.0,4,C,Đạt
A50056,IS224,Lập trình khoa học dữ liệu,3,7.6,4,B,Đạt
A50056,AI130,Trí tuệ nhân tạo,3,8.4,4,B,Đạt
A50057,CS100,Tin học đại cương,2,7.8,1,B,Đạt
A50057,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,7.2,1,B,Đạt
A50057,SH131,Pháp luật đại cương,2,7.4,1,B,Đạt
A50057,ML113,Triết học Mác - Lênin,3,6.0,1,C,Đạt
A50057,GE111,Tiếng Anh sơ cấp 1,2,7.2,1,B,Đạt
A50057,CS121,Lập trình cơ sở 1,3,4.9,2,D,Đạt
A50057,GE112,Tiếng Anh sơ cấp 2,2,5.7,2,C,Đạt
A50057,ML114,Kinh tế chính trị Mác - Lênin,2,7.8,2,B,Đạt
A50057,CS212,Kiến trúc máy tính,3,6.7,2,C,Đạt
A50057,MA110,Giải tích 1,3,2.4,3,F,Học lại
A50057,MI201,Toán rời rạc,3,4.5,3,D,Đạt
A50057,GE121,Tiếng Anh sơ trung cấp 1,2,5.5,3,C,Đạt
A50057,NA151,Khoa học môi trường,2,7.5,3,B,Đạt
A50057,CS122,Lập trình hướng đối tượng,3,5.5,4,C,Đạt
A50057,ML202,Tư tưởng Hồ Chí Minh,2,5.4,4,D,Đạt
A50057,GE222,Tiếng Anh sơ trung cấp 2,2,5.7,4,C,Đạt
A50057,MA239,Xác suất thống kê,3,5.1,4,D,Đạt
A50057,IS224,Lập trình khoa học dữ liệu,3,6.1,4,C,Đạt
A50057,AI130,Trí tuệ nhân tạo,3,6.1,4,C,Đạt
A50058,CS100,Tin học đại cương,2,6.8,1,C,Đạt
A50058,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,8.2,1,B,Đạt
A50058,SH131,Pháp luật đại cương,2,6.8,1,C,Đạt
A50058,ML113,Triết học Mác - Lênin,3,7.5,1,B,Đạt
A50058,GE111,Tiếng Anh sơ cấp 1,2,8.0,1,B,Đạt
A50058,CS121,Lập trình cơ sở 1,3,6.4,2,C,Đạt
A50058,MA120,Đại số tuyến tính,3,3.7,2,F,Học lại
A50058,GE112,Tiếng Anh sơ cấp 2,2,7.7,2,B,Đạt
A50058,ML114,Kinh tế chính trị Mác - Lênin,2,7.0,2,B,Đạt
A50058,CS212,Kiến trúc máy tính,3,6.9,2,C,Đạt
A50058,CS123,Lập trình cơ sở 2,2,5.0,3,D,Đạt
A50058,MA110,Giải tích 1,3,6.8,3,C,Đạt
A50058,MI201,Toán rời rạc,3,7.7,3,B,Đạt
A50058,GE121,Tiếng Anh sơ trung cấp 1,2,7.9,3,B,Đạt
A50058,ML115,Chủ nghĩa xã hội khoa học,2,5.3,3,D,Đạt
A50058,NA151,Khoa học môi trường,2,5.2,3,D,Đạt
A50058,CS122,Lập trình hướng đối tượng,3,8.2,4,B,Đạt
A50058,ML202,Tư tưởng Hồ Chí Minh,2,6.4,4,C,Đạt
A50058,GE222,Tiếng Anh sơ trung cấp 2,2,4.9,4,D,Đạt
A50058,MA239,Xác suất thống kê,3,7.4,4,B,Đạt
A50058,IS224,Lập trình khoa học dữ liệu,3,7.2,4,B,Đạt
A50058,AI130,Trí tuệ nhân tạo,3,5.6,4,C,Đạt
A50059,CS100,Tin học đại cương,2,8.4,1,B,Đạt
A50059,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,8.0,1,B,Đạt
A50059,SH131,Pháp luật đại cương,2,7.0,1,B,Đạt
A50059,ML113,Triết học Mác - Lênin,3,7.7,1,B,Đạt
A50059,GE111,Tiếng Anh sơ cấp 1,2,6.0,1,C,Đạt
A50059,CS121,Lập trình cơ sở 1,3,7.0,2,B,Đạt
A50059,MA120,Đại số tuyến tính,3,6.8,2,C,Đạt
A50059,GE112,Tiếng Anh sơ cấp 2,2,9.7,2,A,Đạt
A50059,ML114,Kinh tế chính trị Mác - Lênin,2,7.7,2,B,Đạt
A50059,CS212,Kiến trúc máy tính,3,6.4,2,C,Đạt
A50059,CS123,Lập trình cơ sở 2,2,10.0,3,A,Đạt
A50059,MA110,Giải tích 1,3,9.4,3,A,Đạt
A50059,MI201,Toán rời rạc,3,9.0,3,A,Đạt
A50059,GE121,Tiếng Anh sơ trung cấp 1,2,9.3,3,A,Đạt
A50059,ML115,Chủ nghĩa xã hội khoa học,2,7.6,3,B,Đạt
A50059,NA151,Khoa học môi trường,2,6.8,3,C,Đạt
A50059,CS122,Lập trình hướng đối tượng,3,7.9,4,B,Đạt
A50059,ML202,Tư tưởng Hồ Chí Minh,2,9.4,4,A,Đạt
A50059,GE222,Tiếng Anh sơ trung cấp 2,2,3.7,4,F,Học lại
A50059,MA239,Xác suất thống kê,3,8.5,4,A,Đạt
A50059,IS224,Lập trình khoa học dữ liệu,3,10.0,4,A,Đạt
A50059,AI130,Trí tuệ nhân tạo,3,9.4,4,A,Đạt
A50060,CS100,Tin học đại cương,2,6.6,1,C,Đạt
A50060,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,6.3,1,C,Đạt
A50060,SH131,Pháp luật đại cương,2,6.0,1,C,Đạt
A50060,ML113,Triết học Mác - Lênin,3,8.6,1,A,Đạt
A50060,GE111,Tiếng Anh sơ cấp 1,2,6.8,1,C,Đạt
A50060,CS121,Lập trình cơ sở 1,3,8.0,2,B,Đạt
A50060,MA120,Đại số tuyến tính,3,6.0,2,C,Đạt
A50060,GE112,Tiếng Anh sơ cấp 2,2,9.3,2,A,Đạt
A50060,ML114,Kinh tế chính trị Mác - Lênin,2,6.5,2,C,Đạt
A50060,CS212,Kiến trúc máy tính,3,6.0,2,C,Đạt
A50060,CS123,Lập trình cơ sở 2,2,7.6,3,B,Đạt
A50060,MA110,Giải tích 1,3,5.9,3,C,Đạt
A50060,MI201,Toán rời rạc,3,8.7,3,A,Đạt
A50060,GE121,Tiếng Anh sơ trung cấp 1,2,5.6,3,C,Đạt
A50060,ML115,Chủ nghĩa xã hội khoa học,2,9.9,3,A,Đạt
A50060,NA151,Khoa học môi trường,2,4.8,3,D,Đạt
A50060,CS122,Lập trình hướng đối tượng,3,6.0,4,C,Đạt
A50060,ML202,Tư tưởng Hồ Chí Minh,2,7.7,4,B,Đạt
A50060,GE222,Tiếng Anh sơ trung cấp 2,2,6.3,4,C,Đạt
A50060,MA239,Xác suất thống kê,3,8.6,4,A,Đạt
A50060,IS224,Lập trình khoa học dữ liệu,3,5.5,4,C,Đạt
A50060,AI130,Trí tuệ nhân tạo,3,6.7,4,C,Đạt
A50061,CS100,Tin học đại cương,2,7.4,1,B,Đạt
A50061,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,4.3,1,D,Đạt
A50061,SH131,Pháp luật đại cương,2,3.9,1,F,Học lại
A50061,ML113,Triết học Mác - Lênin,3,6.6,1,C,Đạt
A50061,CS121,Lập trình cơ sở 1,3,8.7,2,A,Đạt
A50061,MA120,Đại số tuyến tính,3,10.0,2,A,Đạt
A50061,GE112,Tiếng Anh sơ cấp 2,2,6.4,2,C,Đạt
A50061,ML114,Kinh tế chính trị Mác - Lênin,2,7.6,2,B,Đạt
A50061,CS212,Kiến trúc máy tính,3,6.0,2,C,Đạt
A50061,CS123,Lập trình cơ sở 2,2,5.7,3,C,Đạt
A50061,MA110,Giải tích 1,3,6.5,3,C,Đạt
A50061,MI201,Toán rời rạc,3,6.5,3,C,Đạt
A50061,GE121,Tiếng Anh sơ trung cấp 1,2,6.2,3,C,Đạt
A50061,ML115,Chủ nghĩa xã hội khoa học,2,8.1,3,B,Đạt
A50061,NA151,Khoa học môi trường,2,7.9,3,B,Đạt
A50061,CS122,Lập trình hướng đối tượng,3,6.7,4,C,Đạt
A50061,ML202,Tư tưởng Hồ Chí Minh,2,6.4,4,C,Đạt
A50061,GE222,Tiếng Anh sơ trung cấp 2,2,7.4,4,B,Đạt
A50061,MA239,Xác suất thống kê,3,5.6,4,C,Đạt
A50061,IS224,Lập trình khoa học dữ liệu,3,4.7,4,D,Đạt
A50061,AI130,Trí tuệ nhân tạo,3,7.9,4,B,Đạt
A50062,CS100,Tin học đại cương,2,7.4,1,B,Đạt
A50062,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,7.5,1,B,Đạt
A50062,SH131,Pháp luật đại cương,2,9.0,1,A,Đạt
A50062,ML113,Triết học Mác - Lênin,3,7.7,1,B,Đạt
A50062,GE111,Tiếng Anh sơ cấp 1,2,5.9,1,C,Đạt
A50062,CS121,Lập trình cơ sở 1,3,5.2,2,D,Đạt
A50062,MA120,Đại số tuyến tính,3,6.6,2,C,Đạt
A50062,GE112,Tiếng Anh sơ cấp 2,2,7.4,2,B,Đạt
A50062,ML114,Kinh tế chính trị Mác - Lênin,2,9.0,2,A,Đạt
A50062,CS212,Kiến trúc máy tính,3,8.0,2,B,Đạt
A50062,CS123,Lập trình cơ sở 2,2,9.7,3,A,Đạt
A50062,MA110,Giải tích 1,3,6.8,3,C,Đạt
A50062,MI201,Toán rời rạc,3,7.5,3,B,Đạt
A50062,GE121,Tiếng Anh sơ trung cấp 1,2,8.6,3,A,Đạt
A50062,ML115,Chủ nghĩa xã hội khoa học,2,7.9,3,B,Đạt
A50062,NA151,Khoa học môi trường,2,6.1,3,C,Đạt
A50062,CS122,Lập trình hướng đối tượng,3,9.5,4,A,Đạt
A50062,ML202,Tư tưởng Hồ Chí Minh,2,7.7,4,B,Đạt
A50062,GE222,Tiếng Anh sơ trung cấp 2,2,9.5,4,A,Đạt
A50062,MA239,Xác suất thống kê,3,7.4,4,B,Đạt
A50062,IS224,Lập trình khoa học dữ liệu,3,8.6,4,A,Đạt
A50062,AI130,Trí tuệ nhân tạo,3,7.7,4,B,Đạt
A50063,CS100,Tin học đại cương,2,7.2,1,B,Đạt
A50063,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,5.6,1,C,Đạt
A50063,SH131,Pháp luật đại cương,2,8.4,1,B,Đạt
A50063,ML113,Triết học Mác - Lênin,3,4.5,1,D,Đạt
A50063,GE111,Tiếng Anh sơ cấp 1,2,7.1,1,B,Đạt
A50063,CS121,Lập trình cơ sở 1,3,6.2,2,C,Đạt
A50063,MA120,Đại số tuyến tính,3,5.7,2,C,Đạt
A50063,GE112,Tiếng Anh sơ cấp 2,2,6.6,2,C,Đạt
A50063,ML114,Kinh tế chính trị Mác - Lênin,2,9.7,2,A,Đạt
A50063,CS212,Kiến trúc máy tính,3,6.7,2,C,Đạt
A50063,CS123,Lập trình cơ sở 2,2,7.0,3,B,Đạt
A50063,MA110,Giải tích 1,3,6.8,3,C,Đạt
A50063,MI201,Toán rời rạc,3,7.7,3,B,Đạt
A50063,GE121,Tiếng Anh sơ trung cấp 1,2,8.9,3,A,Đạt
A50063,ML115,Chủ nghĩa xã hội khoa học,2,6.9,3,C,Đạt
A50063,NA151,Khoa học môi trường,2,7.9,3,B,Đạt
A50063,CS122,Lập trình hướng đối tượng,3,8.0,4,B,Đạt
A50063,ML202,Tư tưởng Hồ Chí Minh,2,8.0,4,B,Đạt
A50063,GE222,Tiếng Anh sơ trung cấp 2,2,7.8,4,B,Đạt
A50063,MA239,Xác suất thống kê,3,6.7,4,C,Đạt
A50063,IS224,Lập trình khoa học dữ liệu,3,6.7,4,C,Đạt
A50063,AI130,Trí tuệ nhân tạo,3,6.1,4,C,Đạt
A50064,CS100,Tin học đại cương,2,6.9,1,C,Đạt
A50064,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,5.4,1,D,Đạt
A50064,SH131,Pháp luật đại cương,2,5.4,1,D,Đạt
A50064,ML113,Triết học Mác - Lênin,3,6.5,1,C,Đạt
A50064,GE111,Tiếng Anh sơ cấp 1,2,5.7,1,C,Đạt
A50064,CS121,Lập trình cơ sở 1,3,7.5,2,B,Đạt
A50064,MA120,Đại số tuyến tính,3,7.2,2,B,Đạt
A50064,GE112,Tiếng Anh sơ cấp 2,2,3.6,2,F,Học lại
A50064,ML114,Kinh tế chính trị Mác - Lênin,2,6.9,2,C,Đạt
A50064,CS212,Kiến trúc máy tính,3,7.6,2,B,Đạt
A50064,CS123,Lập trình cơ sở 2,2,4.7,3,D,Đạt
A50064,MA110,Giải tích 1,3,3.8,3,F,Học lại
A50064,MI201,Toán rời rạc,3,4.2,3,D,Đạt
A50064,GE121,Tiếng Anh sơ trung cấp 1,2,6.2,3,C,Đạt
A50064,ML115,Chủ nghĩa xã hội khoa học,2,4.3,3,D,Đạt
A50064,NA151,Khoa học môi trường,2,3.7,3,F,Học lại
A50064,CS122,Lập trình hướng đối tượng,3,5.6,4,C,Đạt
A50064,ML202,Tư tưởng Hồ Chí Minh,2,6.8,4,C,Đạt
A50064,GE222,Tiếng Anh sơ trung cấp 2,2,6.9,4,C,Đạt
A50064,MA239,Xác suất thống kê,3,4.0,4,D,Đạt
A50064,IS224,Lập trình khoa học dữ liệu,3,3.8,4,F,Học lại
A50064,AI130,Trí tuệ nhân tạo,3,7.5,4,B,Đạt
A50065,CS100,Tin học đại cương,2,8.9,1,A,Đạt
A50065,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,7.3,1,B,Đạt
A50065,SH131,Pháp luật đại cương,2,6.2,1,C,Đạt
A50065,ML113,Triết học Mác - Lênin,3,8.0,1,B,Đạt
A50065,GE111,Tiếng Anh sơ cấp 1,2,6.4,1,C,Đạt
A50065,CS121,Lập trình cơ sở 1,3,6.0,2,C,Đạt
A50065,MA120,Đại số tuyến tính,3,7.2,2,B,Đạt
A50065,GE112,Tiếng Anh sơ cấp 2,2,5.8,2,C,Đạt
A50065,ML114,Kinh tế chính trị Mác - Lênin,2,7.4,2,B,Đạt
A50065,CS212,Kiến trúc máy tính,3,7.6,2,B,Đạt
A50065,CS123,Lập trình cơ sở 2,2,7.6,3,B,Đạt
A50065,MA110,Giải tích 1,3,7.9,3,B,Đạt
A50065,MI201,Toán rời rạc,3,7.6,3,B,Đạt
A50065,GE121,Tiếng Anh sơ trung cấp 1,2,6.9,3,C,Đạt
A50065,ML115,Chủ nghĩa xã hội khoa học,2,7.2,3,B,Đạt
A50065,NA151,Khoa học môi trường,2,6.5,3,C,Đạt
A50065,CS122,Lập trình hướng đối tượng,3,7.4,4,B,Đạt
A50065,ML202,Tư tưởng Hồ Chí Minh,2,7.1,4,B,Đạt
A50065,GE222,Tiếng Anh sơ trung cấp 2,2,6.4,4,C,Đạt
A50065,MA239,Xác suất thống kê,3,6.7,4,C,Đạt
A50065,IS224,Lập trình khoa học dữ liệu,3,5.6,4,C,Đạt
A50065,AI130,Trí tuệ nhân tạo,3,6.2,4,C,Đạt
A50066,CS100,Tin học đại cương,2,6.5,1,C,Đạt
A50066,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,8.3,1,B,Đạt
A50066,SH131,Pháp luật đại cương,2,5.4,1,D,Đạt
A50066,ML113,Triết học Mác - Lênin,3,6.1,1,C,Đạt
A50066,GE111,Tiếng Anh sơ cấp 1,2,7.5,1,B,Đạt
A50066,CS121,Lập trình cơ sở 1,3,6.2,2,C,Đạt
A50066,MA120,Đại số tuyến tính,3,5.8,2,C,Đạt
A50066,GE112,Tiếng Anh sơ cấp 2,2,10.0,2,A,Đạt
A50066,ML114,Kinh tế chính trị Mác - Lênin,2,8.4,2,B,Đạt
A50066,CS212,Kiến trúc máy tính,3,7.1,2,B,Đạt
